region,family,vm type,regional_disk,sole_tenant,nested_virtualization,local_ssd,cores,gpu,cpu,memory,network_egress,on demand price,preemptible price
asia-northeast,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.728,0.1584
asia-northeast1,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.728,0.1584
asia-northeast2,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.728,0.1584
asia-northeast3,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.728,0.1584
asia-southeast,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.6992,0.14
asia-southeast1,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.6992,0.14
australia-southeast1,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.8046,0.161
australia-southeast2,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.8046,0.161
australia,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.8046,0.161
southamerica-east1,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.8999,0.17999
asia-south1,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.6807,0.14337
asia-southeast2,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.762128,0.1526
asia-south2,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.6807,0.14337
us,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0709,0.015
us-central1,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0709,0.015
us-east1,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0709,0.015
us-east4,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0813,0.01605
us-west4,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0813,0.01605
us-west1,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0709,0.015
us-west2,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0851,0.01791
us-west3,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0851,0.01791
europe,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.078,0.0165
europe-central2,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0912,0.0183
europe-west1,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.078,0.0165
europe-west2,n1,n1-highcpu-2,1,1,1,1,2,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",1.8,10,0.0912,0.0183
